"img-fit-cover src","entity_localized_name","anime_tag","anime_summary","anime_story","steam-site-name","steam-site-name 2","steam-site-name 3","anime_tag 2","anime_tag 3","scormem-item","scormem-item 2","image_path"
"https://static.acgsecrets.hk/img/85/852346dc10207e1a16d28c0d964dfcf7/129544d9ca229ce3af5afd06287535105874187d64835bcbc2775da4b6217f3c.jpg","歡迎來到實力至上主義的教室 3rd Season","戲劇","其他名稱：歡迎來到實力至上主義的教室 第三季、歡迎來到實力至上主義的教室S3、Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season、Classroom of the Elite Season 3、欢迎来到实力至上主义的教室 3rd Season、欢迎来到实力至上主义的教室 第三季、欢迎来到实力至上主义的教室S3","隨著第三學期開始，高度育成高中所有學生都被帶去了深山裡的校舍。此次施行的特別考試名為「混合合宿」。一個學年按照男女各分六組。而且據說二年級、三年級也將和各個小組會合。最終，全體學生所隸屬的平均分數前三高的組別，學校將贈予獎勵點數。另一方面，最後一名的小組負責人則會退學。大家都很害怕有著退學懲罰的特別考試。分組方式完全交由學生決定。和過去彼此應是敵人的班級聯手所產生的情感糾葛，將會掀起風波！甚至連新任學生會長南雲，以及那個高圓寺似乎都有動作──！","木棉花YouTube","viu.com","木棉花YouTube","","","7.95","487K","anime_data/images/歡迎來到實力至上主義的教室 3rd Season.jpg"
"https://static.acgsecrets.hk/img/10/1013a32490d9e7a09aef743abd00dada/5a592d201e7cc9052659137c5b448d1778274693e1e27344538f8789468c9090.jpg","迷宮飯","喜劇","其他名稱：Dungeon Meshi、Delicious in Dungeon、迷宫饭","萊歐斯一行人終於進到迷宮深處，卻遭到巨龍襲擊，失去了金錢與糧食。決心再次挑戰的他們若不解決糧食問題，半路便會餓死。此時，萊歐斯提出「吃魔物」的想法。不止史萊姆、寶箱怪，甚至連龍都打算吃下肚！？於是，一行人便展開了一邊冒險一邊料理魔物的……美食探險！？冒險家們是否能平安抵達終點，還是半路就會吃壞肚子呢？","Netflix","Netflix","Bilibili","奇幻","","8.6","520K","anime_data/images/迷宮飯.jpg"
"https://static.acgsecrets.hk/img/16/160b855afdd01ece6d16e6b19938d1dd/653e88f1476224423d4a73a1fcdf67cebd2b6dcccbdcc69ab4eafecdacfac46f.png","我獨自升級","動作","其他名稱：Ore dake Level Up na Ken、Solo Leveling、我独自升级","十幾年前，世界上出現了連接異次元與這個世界的通道「傳送門」，而人群中還出現了覺醒之人。 在傳送門裡狩獵魔物的覺醒者們，又被稱為「獵人」。然而並不是所有獵人都很強。我是個E級獵人。我是連在低級地下城裡都得拼命才能死裡逃生的「人類最弱兵器」。","Netflix","viu.com","Netflix","冒險","奇幻","8.23","1.0M","anime_data/images/我獨自升級.png"
"https://static.acgsecrets.hk/img/77/773fa3f0035de89ba7a26335a1cfa4d4/34aa16ff018111bd8418a345ebda33ece0f83e1777bf0df949523aa817725a83.jpg","肌肉魔法使-MASHLE- 神覺者候補選拔試驗篇","動作","其他名稱：肌肉魔法使-MASHLE- 第2季、物理魔法使馬修 第2季、MASHLE Kami Shinkakusha Kouho Senbatsu Shiken-hen、MASHLE: MAGIC AND MUSCLES The Divine Visionary Candidate Exam Arc、MASHLE: MAGIC AND MUSCLES Season 2、物理魔法使马修 第2季、肌肉魔法使-MASHLE- 神觉者候补选拔试验篇","","Bilibili","Netflix","viu.com","喜劇","奇幻","7.79","468K","anime_data/images/肌肉魔法使-MASHLE- 神覺者候補選拔試驗篇.jpg"
"https://static.acgsecrets.hk/img/9e/9e1a7783d3d01e245e8d430d05bdcb4d/d437e9cc187aa7d4bffe611f09c5347a24a79a0324f3ebc1f117a12167f7e85d.jpg","Metallic Rouge","動作","其他名稱：Metallic Rouge、金屬口紅、金属口红","在一個人類和人造人共存的世界──人造人少女・ルジュ在火星，與她的夥伴ナオミ執行一項任務。該任務是，「殺害與政府敵對的9名人造人」。人造人少女・ルジュ的戰鬥故事就此展開──。","Bilibili","Ani-One YouTube","Bilibili","科幻","","6.2","113K","anime_data/images/Metallic Rouge.jpg"
"https://static.acgsecrets.hk/img/f4/f4efb8d176ab64e00f74120cea504baa/e7f0c1e4b68759307099c7679ae08d74e02263b243ccd754b7a2a639f41b74b0.jpg","我內心的糟糕念頭 第2季","喜劇","其他名稱：我心裡危險的東西 第2季、Boku no Kokoro no Yabai Yatsu 2nd Season、The Dangers in My Heart Season 2、我心里危险的东西 第2季、我内心的糟糕念头 第2季","深陷中二病的陰沉少年市川京太郎，和班上的紅人山田杏奈。不像一般的美少女，山田總是展現出出人意表的行為，讓市川總是不由自主地關注她。山田不知是否意識到市川的情感，但她總是開朗地靠近他。這兩人原本應該生活在完全不同的世界中，但兩人之間的距離卻逐步縮小……","Ani-One YouTube","Ani-One YouTube","巴哈姆特動畫瘋","浪漫","","8.73","279K","anime_data/images/我內心的糟糕念頭 第2季.jpg"
"https://static.acgsecrets.hk/img/f9/f9b9f35e4254f84d2eadcb81a1a85e32/0d0c68e906bbfbd464571dd5204d0881a82866728b87db579e262367b56f2100.jpg","月光下的異世界之旅 第二幕","動作","其他名稱：Tsuki ga Michibiku Isekai Douchuu 2nd Season、TSUKIMICHI -Moonlit Fantasy- Season 2、月光下的异世界之旅 第二幕","因故被異世界召喚的「深澄 真」，本應成為「勇者」對抗魔族，卻被女神詬病「樣子醜」，使他失去勇者的身份，被丟棄在無邊無際的荒野中。在這荒野中，真與龍的「巴」、蜘蛛的「澪」、還有死靈的「識」結為夥伴。這群人來到了被稱為「學園都市」的ロッツガルド。真原本打算作為學生入學，卻不小心報名了教員招聘考試，並一次過關？！","Ani-One YouTube","Ani-One YouTube","巴哈姆特動畫瘋","冒險","喜劇","7.84","308K","anime_data/images/月光下的異世界之旅 第二幕.jpg"
"https://static.acgsecrets.hk/img/97/9733a8cbc168eb587493923e6c33f0c6/a3312ed49a1eb1a52e6ce6ea6eb4700c001f161f9e9179e79145eede415783da.jpg","戰國妖狐","動作","其他名稱：Sengoku Youko、Warring States Youko、战国妖狐、Sengoku Youko: Yonaoshi Kyoudai-hen","時間為戰國時代，世上具有各種魑魅魍魎、異形妖怪等等總稱為「闇」的存在。喜歡人類的闇‧妖狐小玉，以及厭惡人類的仙道‧迅火，姊弟兩人進行著掃蕩罪惡的救世活動。另外還有一群專門對付闇的僧侶‧斷怪眾，他們以不人道的方式進行人體改造，迅火等人與他們產生激烈衝突……！人類當中也有壞人，非人類的存在也不見得都是邪惡的，迅火因過去的事而極其討厭人類，但在旅程當中，也逐漸目睹到人類善良的一面，他是否能有所轉變呢……？","Ani-One YouTube","Netflix","Ani-One YouTube","冒險","戲劇","6.99","67K","anime_data/images/戰國妖狐.jpg"
"https://static.acgsecrets.hk/img/0c/0c96f4caa6b3cb97c43cc40e1ea31e05/5f114d4c0d72f2de99d34c8fd1412815b78ce5f1ce707386a997905645d99d1a.jpg","公主殿下，「拷問」的時間到了","喜劇","其他名稱：公主大人，接下來是「拷問」時間、公主大人的「拷問」時間、Hime-sama ""Goumon"" no Jikan desu、It's Time for ""Interrogation"", Princess!、'Tis Time for ""Torture,"" Princess、公主大人，接下来是“拷问”时间、公主殿下，「拷问」的时间到了、公主大人的“拷问”时间","國王軍與魔王軍展開衝突已有數載。既是王女也是國王軍第三騎士團「騎士團長」的公主，如今成為了魔王軍的階下囚！而等待公主的則是超乎想像的各種拷問──！？最殘酷的拷問時間即將開始！！","Ani-One YouTube","Ani-One YouTube","巴哈姆特動畫瘋","奇幻","","7.22","77K","anime_data/images/公主殿下，「拷問」的時間到了.jpg"
"https://static.acgsecrets.hk/img/dc/dc7a5669ad9976e4aa42b57aa794c46e/3673fa007e3aead73c3b31e6286313be3a74c9b986915e04df9c8dee362c6b9a.jpg","休假的壞人先生","喜劇","其他名稱：休假日的壞人先生、Kyuujitsu no Warumono-san、Mr. Villain's Day Off、休假日的坏人先生、休假的坏人先生","在企圖侵略地球的邪惡組織中，被稱為「將軍」的他，過著與地球防衛組織「戰隊」展開激烈戰鬥的每一天！但今天是假日，進入休息模式的他，為了看貓熊而跑到動物園、又或者是為了買冰而去便利商店。","巴哈姆特動畫瘋","","","","","7.24","101K","anime_data/images/休假的壞人先生.jpg"
