"img-fit-cover src","entity_localized_name","anime_tag","anime_tag 2","anime_summary","anime_story","steam-site-name","steam-site-name 2","steam-site-name 3","steam-site-name 4","steam-site-name 5","steam-site-name 6","anime_tag 3","scormem-item","scormem-item 2"
"https://static.acgsecrets.hk/img/68/680a602d9b76e0373248e3c434416bbe/27a3353bafcc6597b8bcbeebc0617712230c1b1c8c4d884e83979cf08f399390.jpg","【我推的孩子】第二季","戲劇","超自然","其他名稱：Oshi no Ko Season 2","「在演藝圈(這個世界)裡，謊言就是武器。」雙胞胎兄妹‧阿奎亞與露比在演藝圈奮鬥中！！露比所屬的新生「B小町」在結束首場現場表演活動後，受到各界期待能更加活躍。另一方面，阿奎亞收到的下個通告是在「2.5次元舞台」登台演出!!而之前在戀愛實境秀上成為他「女友」的黑川茜，以及對阿奎亞抱持戀慕之心的有馬佳奈也參演此劇…這是波瀾將起的預兆嗎！？","Netflix","巴哈姆特動畫瘋","Ani-One YouTube","viu.com","Netflix","巴哈姆特動畫瘋","","8.55","466K"
"https://static.acgsecrets.hk/img/52/529767e59fa0f60c577ff5ad4a976fdf/c42874b2fbcacf4449f4b93e0bf918ae8b80ccf9602cc2c602f903d8df8f9466.jpg","異世界自殺特攻","動作","","其他名稱：異世界自殺小隊、Isekai Suicide Squad、X特遣隊的奇幻之旅、Suicide Squad ISEKAI、异世界自杀小队、异世界自杀突击队、异世界自杀特攻、X特遣队的奇幻之旅","犯罪都市、葛咸城。天眼局主任禾艾敏為了進行某項任務，將小丑女、死靈射手、和平使者、泥面人、鯊魚王等葛咸城裡窮兇惡極的惡棍們，送進了被傳送門所連接的劍與魔法的世界，那裡是個獸人橫行、巨龍翱翔的「異世界」！！來到了異世界的小丑女一行人，被王國的軍隊抓進監獄。距離脖子裡的炸彈爆炸，還有72小時…。迫在眉睫的小丑女一行人。在與女王亞朵菈進行交涉後，以釋放他們為絛件，「他們要去鎮壓與之敵對的帝國軍」。別無選擇！！為了得到自由…小丑女一行人踏上了奇幻又危險的戰場！！逃走會死！任務失敗也會死！身負賭命任務的小丑女一行人，有辦法在這個異世界活下去嗎！？敢死的特殊部隊=自殺特攻的超暴力冒險，就此開幕！LET'S PARTY！！","HBO GO","巴哈姆特動畫瘋","viu.com","Ani-One YouTube","HBO GO","巴哈姆特動畫瘋","","6.40","155K"
"https://static.acgsecrets.hk/img/8f/8f7c5ba72a609e9c34c4305dd95bbf11/d048a0664b8f45943ef15e82bbe8a540c9692d2a076ad9e84df7e276a7d5addc.jpg","擅長逃跑的殿下","冒險","喜劇","其他名稱：少主溜得快、Nige Jouzu no Wakagimi、The Elusive Samurai、The boy becomes a hero by running away、擅长逃跑的殿下","西元1333年，鎌倉幕府重臣足利高氏倒戈投靠後醍醐天皇，幕府遭到推翻，掌權的北条氏也幾近滅亡，而年幼的幕府繼承人北条時行，則在諏訪大社神官‧諏訪賴重的幫助下逃到信濃國。北条時行將在諏訪氏的庇護下成長茁壯、結交志同道合的郎黨，日後發揮自己最擅長的逃跑技能，踏上以逃跑成就英雄的傳奇之路──但是現在，他還只是一個失去故鄉和家人，無所適從的小小少年。","巴哈姆特動畫瘋","愛奇藝","Netflix","巴哈姆特動畫瘋","愛奇藝","Netflix","","7.79","190K"
"https://static.acgsecrets.hk/img/7b/7b39d11d5a9a780479337551f21c61ff/03489b98a9bb0c936913da787f8fc32b6e7176e046d0d3d40f2f73726a93ca62.jpg","不時輕聲地以俄語遮羞的鄰座艾莉同學","喜劇","浪漫","其他名稱：時不時說一句俄語來掩飾害羞的鄰桌艾莉同學、鄰座的艾琳同學偶爾會用俄語悄悄撒嬌、Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san、Alya Sometimes Hides Her Feelings in Russian、不时轻声地以俄语遮羞的邻座艾莉同学、时不时说一句俄语来掩饰害羞的邻桌艾莉同学、邻座的艾琳同学偶尔会用俄语悄悄撒娇","「И наменятоже обрати внимание.」「啊？妳說什麼？」「沒有啊？我只是說『這傢伙真的很蠢』。」「可以別用俄語罵我嗎？」坐在我旁邊座位的絕世銀髮美少女艾莉，輕輕露出誇耀勝利的笑容……然而實際上不是這樣。她剛才說的俄語是：「理我一下啦！」其實我──久世政近的俄語聽力達到母語水準。毫不知情的艾莉同學，今天也以甜蜜的俄語表現嬌羞的一面，害我止不住笑意？","巴哈姆特動畫瘋","Ani-One YouTube","愛奇藝","viu.com","Netflix","巴哈姆特動畫瘋","","7.57","447K"
"https://static.acgsecrets.hk/img/f3/f351004ee677b45085f1c51fd0466f36/4f58fad797f89683dc74f90046bd0b3fbe78581d1db6847c6ba7f748153bd04c.jpg","敗北女角太多了！","喜劇","浪漫","其他名稱：敗犬女主也太多了！、Make Heroine ga Oosugiru!、Too Many Losing Heroines!、Toooooo Many Losing Heroines、败北女角太多了！、败犬女主也太多了！","平常擔任班上背景人物的我──溫水和彥，偶然目擊人氣女同學八奈見杏菜被男生甩掉的失戀現場。「他明明說過要娶我當新娘，這不過分嗎？」「那是多久前的事了？」「大概四、五歲吧。」那不算數吧？以此為契機，田徑隊的燒鹽檸檬、文藝社的小鞠知花等洋溢著敗北感的女生接連登場──？「溫水，女生可以分成兩大類。如果不是青梅竹馬，就是狐狸精。」「原來如此，真豪爽的分類法。」……但願這些因為敗北而閃耀的少女們都能幸福。被敗北女角──敗女所環繞的謎樣青春，在此揭幕！","巴哈姆特動畫瘋","Netflix","愛奇藝","巴哈姆特動畫瘋","Netflix","愛奇藝","","8.10","296K"
"https://static.acgsecrets.hk/img/8a/8add936e5176372f2dc7f78b247a35ff/376508923889ae2e354d3a12150d74be0f28607af07a7390412414def2091260.jpg","鹿乃子乃子乃子虎視眈眈","喜劇","","其他名稱：鹿乃子乃子虎視眈眈、Shikanoko Nokonoko Koshitantan、My Deer Friend Nokotan、鹿乃子乃子乃子虎视眈眈、鹿乃子乃子虎视眈眈","就讀於都立日野南高校的女高中生，虎視虎子。有一天在上學的途中，她感覺到臉上被冷冷的東西打到。她抬頭一看，看到一個女孩子鼻涕直流，角被電線纏住，無法動彈——！？因為無意間幫助了長出奇怪『角』的少女・鹿乃子， （表面上的）優等生虎視虎子的人生開始被擾亂……","巴哈姆特動畫瘋","愛奇藝","HMVOD","巴哈姆特動畫瘋","愛奇藝","It's Anime YouTube","","6.97","260K"
"https://static.acgsecrets.hk/img/67/67040d7e2ed183ede2d0de478c6ef82c/d330cab93909e3c778f83ce84adcf305ed36319e5c9b5b8a57e8b61e4fe1e1c1.jpg","天穗之咲稻姬","動作","奇幻","其他名稱：Tensui no Sakuna-hime、Sakuna: Of Rice and Ruin","遙遠的東方邊境，雅那特之國。自古以來，人們相信這裡有兩個世界：神明居住的天界和人類居住的人界。居住在天界的上級神，同時也是廢柴女神的佐久名公主，雖然是武神和豐穰神之子，卻過著虛耗父母積存糧食的懶散生活…然後某一天，因為一件突發事件，她被驅逐出神明的都城，流放到鬼怪橫行的孤島——日之惠島！？在這片不毛之地，連明天的食物都難以確保，她開始耕作土地，種植水稻，並對抗鬼怪。迷失於神的世界中的人類們與初出茅廬的豐穰神，開始了充滿稻殼飛揚的集體生活‼","Ani-One YouTube","巴哈姆特動畫瘋","Netflix","Ani-One YouTube","巴哈姆特動畫瘋","Netflix","","6.74","20K"
"https://static.acgsecrets.hk/img/c3/c328818ca0b9e1a5c233d9678fe671ee/710b33028aab6ef3244a85841f1fe598deb5b16ad6eef54e1a4c7d2e882a0fe8.jpg","杖與劍的魔劍譚","動作","冒險","其他名稱：杖與劍的威斯特里亞、杖與劍的Wistoria、Tsue to Tsurugi no Wistoria、Wistoria: Wand and Sword、Wistoria's Wand and Sword、杖与剑的魔剑谭、杖与剑的威斯特里亚、杖与剑的Wistoria","在里加甸魔法學院學習的威爾‧賽爾佛特，是個無法使用魔法、所有「術科」學分通通得不到的「無能者」；但他卻靠著「學科」的學分努力升上魔法學院的最高年級──驅使他這麼做的，是小時候跟初戀對象愛爾法莉亞的約定！在這受到「大結界」保護的世界中，沒有人親眼看過「天空」，因此年幼的他們約定好要一起爬到魔法師之塔的頂端看真正的夕陽……為了追上成為「至高五杖」的愛爾法莉亞，天生的「戰士」威爾只能拚了命地往上爬！","巴哈姆特動畫瘋","viu.com","愛奇藝","Netflix","巴哈姆特動畫瘋","木棉花YouTube","奇幻","7.86","321K"
"https://static.acgsecrets.hk/img/7d/7db9fbed74a79266c12076f607492d25/11ca9e0d823604cedc63f0dd5e10a839e03107e3fefab460f4fdcd018118a80c.jpg","小市民系列","神秘","","其他名稱：Shoushimin Series、SHOSHIMIN: How to become Ordinary","小鳩和小佐內同學既不是情侶，也不依賴彼此，卻是有著互惠關係的高一學生。今天他們兩人依然手牽著手，朝著正直謹慎小市民的目標邁進。雖然如此，謎題卻接連不斷地出現在他們面前：消失的包包，意義不明的兩幅畫，美味可可之謎，考試時破掉的玻璃瓶。明明不想扮演名偵探卻總是被迫解謎的小鳩究竟能不能抓住那顆小市民的星星呢？","巴哈姆特動畫瘋","Ani-One YouTube","愛奇藝","巴哈姆特動畫瘋","Ani-One YouTube","愛奇藝","","7.34","131K"
"https://static.acgsecrets.hk/img/89/89eed3a47e126cd8510d6a5149ce9a3e/e62ce1a899cce1bc2d7997c456126ab49dd44a026d2c3a7fad225e5fc9eda9b8.jpg","化成菜葉化成花","","","其他名稱：亦葉亦花、變成菜變成花、少女如草花綻放、Na-nare Hana-nare、亦叶亦花、少女如草花绽放、化成菜叶化成花","「想要加油的心情...究竟是從哪裡湧現出來的呢？」目標是全國大賽連霸的名門，鷹之咲高中。才一年級就在全中大賽A隊獲得過冠軍的美空かなた，卻因大賽中的失誤而無法再飛翔。在這樣的某一天跳入かなた眼前的，是一位在電車旁邊從一棟大樓跳到另一棟大樓的女高中生，小父内涼葉。かなた和涼葉，再加上藝術體操(韻律體操)千金・詩音。還有從巴西回國的留學生・杏那。還有杏那的同班同學，瑜伽哲學女子・穏花。以及かなた的前隊友，輪椅女孩・恵深。興趣、特長、性格各不相同的成員們會唱歌、碰撞、做特技、妄想...當大家都有純粹的想要加油的心情時，PoMPoMs的加油聲將超越啦啦隊的框架，傳遞到人們的心中。群馬的6位女高中生的加油聲，也許能稍微改變世界...也說不定？","Bilibili","","","","","","","6.37","32K"
