"img-fit-cover src","entity_localized_name","anime_tag","anime_tag 2","anime_summary","anime_story","steam-site-name","steam-site-name 2","steam-site-name 3","steam-site-name 4","steam-site-name 5","steam-site-name 6","scormem-item","scormem-item 2","image_path"
"https://static.acgsecrets.hk/img/d2/d2a48d516a8bdaa2c079ff6a36ab5244/00e28e997720762d1c01ca5504307b619e0ca2834b949c507834fc0ef70d6d8f.jpg","DAN DA DAN 第2季","動作","喜劇","其他名稱：當噠當 第2季、Dandadan 2nd Season、Dan Da Dan Season 2、胆大党 第2季、当哒当 第2季","仁仁身體被邪視奪去！令神痴一度陷入苦戰。另一邊廂，流傳百年的大蛇神傳說終於解開！","viu.com","巴哈姆特動畫瘋","愛奇藝","Disney＋","Netflix","巴哈姆特動畫瘋","8.58","376K","anime_data/images/DAN DA DAN 第2季.jpg"
"https://static.acgsecrets.hk/img/20/2030c9ab2cc153c2b022fc5b69be3fd3/d716f9a0a1bfd71fcf89daec84a86a17d438f9fd957f6634763ee20c649d430f.jpg","戀上換裝娃娃 第2季","浪漫","","其他名稱：更衣人偶墜入愛河 第2季、Sono Bisque Doll wa Koi wo Suru Season 2、My Dress-Up Darling Season 2、更衣人偶坠入爱河 第2季、恋上换装娃娃 第2季","在池袋Ｃｏｓ活動上遇見了男扮女裝的Ｃｏｓｅｒ「天音」。聽到他說起自己開始Ｃｏｓｐｌａｙ的契機後，海夢的反應是…？繼哥德蘿莉、魔法少女、小麥色皮膚角色和淫魔之後，海夢下一套Ｃｏｓｐｌａｙ服裝確定！…但新菜卻陷入意料之外的大苦戰…？","巴哈姆特動畫瘋","愛奇藝","Crunchyroll","巴哈姆特動畫瘋","愛奇藝","Crunchyroll","8.34","343K","anime_data/images/戀上換裝娃娃 第2季.jpg"
"https://static.acgsecrets.hk/img/c7/c77250994a772bbcda7685e19f8edf45/6f945c68a0e0894c7d7c162356ac83991675c3ab94653d002e94a1bb46a21657.jpg","Silent Witch 沉默魔女的秘密","奇幻","","其他名稱：沉默的魔女、Silent Witch: Chinmoku no Majo no Kakushigoto、Secrets of the Silent Witch","「沉默魔女」莫妮卡．艾瓦雷特。她是世上唯一一位能使用無詠唱魔術的魔術師，同時也是單槍匹馬擊退傳說黑龍的年少英雄。然而她的本性──其實怕生到要加上「超」字來形容？她之所以會練習無詠唱魔術，是為了可以不用在人前開口就了事。絲毫沒發現自己天賦異稟的莫妮卡，就在毫無自覺的情況下獲選為「七賢人」，還被硬塞了護衛第二王子的極祕任務……？生性羞怯膽小，實力卻是最強。天才家裡蹲魔女隱瞞本性，偷偷制裁接近王子的惡人，痛快無比的奇幻冒險劇！","巴哈姆特動畫瘋","愛奇藝","Crunchyroll","巴哈姆特動畫瘋","愛奇藝","Crunchyroll","8.04","121K","anime_data/images/Silent Witch 沉默魔女的秘密.jpg"
"https://static.acgsecrets.hk/img/1c/1c1822a3ac62dae8d2d1221e72b6d905/54c39d690a1cb68c81e85d4c73d75b795446c3df96ebfd04f57495bded215776.jpg","陰陽迴天 Re:Birth Verse","動作","奇幻","其他名稱：陰陽迴天、陰陽迴天 Re:Birth、陰陽迴天 Re:Basu、ONMYO-KAITEN Re:Birth、Onmyo Kaiten Re:Birth Verse、阴阳回天、阴阳回天 Re:Birth、阴阳回天Re：basu、阴阳回天 Re:Birth Verse","不與任何人結黨、獨自一人整日打架的不良高中生・業平 猛 ，日復日越來越牽掛在夢中反覆出現的神祕少女・月宮。然後某天，阿猛因意外從懸崖掉了下去。當他恢復意識後，在他面前的竟是科技高度進化的平安京——《電祇平安京》。那裡由最強的陰陽師・安倍晴明守護，也正是牽掛已久的月宮真實存在的另一個世界！原本因夢寐以求的命運邂逅而欣喜若狂的阿猛，卻在突如發生的黑霧《闇薫》中，與月宮一起遭到名為《怨人》的怪物襲擊身亡。──然而，下一瞬間，阿猛竟再次在電祇平安京醒了過來。後來察覺到自己經歷了時間輪迴的阿猛，為了改寫月宮會喪命的未來，他決心向安倍晴明習得陰陽術，並以陰陽師的身分投入戰鬥——！","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","","","6.59","21K",""
"https://static.acgsecrets.hk/img/88/88eeba152998785ae2b90503628bab6f/6280d673d3590776581c6311eb7357666d8b01cc065f9e95e4e6fe133e0f719c.jpg","薰香花朵凛然綻放","戲劇","浪漫","其他名稱：薰香花朵凜然綻放、花薰凜然、Kaoru Hana wa Rin to Saku、The Fragrant Flower Blooms with Dignity""、The Fragrant Flowers Bloom with Dignity、花薰凛然、熏香花朵凛然绽放","家裡開蛋糕店的凜太郎，因為高大的體型與兇狠的外表，從他小時候周圍的人都對他抱有嚴重的偏見。某天，幫忙顧店的凜太郎與現場唯一的客人•薰子相遇了。嬌小的她面前卻有許多盤吃完的蛋糕，薰子一看見他就立刻逃離店裡，凜太郎以為是因為自己的外表又嚇到別人，不禁感到失落又自責。隔天放學後，他在自己的學校校門口看見薰子在等人……？相鄰彼此、校風迥異的兩間高中•千鳥與桔梗，分別就讀於這兩間學校的凜太郎與薰子，交織出酸甜又多彩的青春物語。","Netflix","Netflix","Bilibili","","","","8.68","272K","anime_data/images/薰香花朵凛然綻放.jpg"
"https://static.acgsecrets.hk/img/4c/4c2e3d6aa15a30fe86fbc1ad59de2dbb/643ce44517f0e6bb14c0a3fac5924a326ffda18f2cf83f7c4bb820f89ff3739f.jpg","SAKAMOTO DAYS 坂本日常 第2季度","動作","喜劇","其他名稱：Sakamoto Days Part 2、坂本日常 第2季度","兇惡死刑犯、ORDER、坂本商店，廝殺在三方人馬遇見的瞬間開始！緊張的戰鬥在各處展開，此時坂本的身體出現異狀…？在背後操弄一切的「✕」真正的目標揭曉時，殺手圈將為之震盪！","Netflix","Netflix","Bilibili","","","","7.96","171K","anime_data/images/SAKAMOTO DAYS 坂本日常 第2季度.jpg"
"https://static.acgsecrets.hk/img/4b/4bc6944cb9f26fe8a8d5cef3f703eb9f/4dabbed0cb1fba5adef45fe55032cb48e31e3f19467b88ae908692f63774b450.jpg","GACHIAKUTA","動作","奇幻","其他名稱：Gachiakuta、GACHIAKUTA咔嗒咔嗒","路德居住在天界的貧民窟中，天界的富人經常將他們製造的垃圾扔到邊緣和深淵，而窮人在富人奢侈生活的陰影下艱難度日。 有一天他被誣陷犯了謀殺罪，這個冤枉的判決使他受到了難以想像的刑罰——與其他垃圾一起被丟棄到奈落。 在地表上，人類的廢棄物滋生了兇惡的怪物，如果路德想知道真相並對天界復仇，他必須掌握新的力量，並加入一個被稱為「清道夫」的團體，與深淵中的巨大斑獸作戰！","巴哈姆特動畫瘋","Ani-One YouTube","viu.com","愛奇藝","myTV SUPER","巴哈姆特動畫瘋","8.02","265K","anime_data/images/GACHIAKUTA.jpg"
"https://static.acgsecrets.hk/img/e5/e571f6e4cdbf79f2dc2e190c13deecb2/2cacf56896c6daf01d83cd412e7c024c84a6d129604b64e7a2d1b129962ceea9.jpg","光逝去的夏天","恐怖","神秘","其他名稱：光死去的夏天、Hikaru ga Shinda Natsu、The Summer Hikaru Died","佳紀是生活在某個村落的少年。儘管厭惡封閉的環境，依舊和同齡的兒時玩伴光度過好幾年一成不變的生活。他的兒時玩伴今天也以與平時無異的臉龐，一如往常站在他的身邊。可是佳紀很確定，光已經被某個東西取代了。他們共度同樣的時光，此時村落開始發生離奇的事件……絕對不能再這樣下去了。可是，即使他不是真的光，也想和他在一起。佳紀內心抱著矛盾的糾葛，將會作出什麼選擇──？","Netflix","Netflix","Bilibili","","","","8.14","199K","anime_data/images/光逝去的夏天.jpg"
"https://static.acgsecrets.hk/img/18/18e14b5fb748623058798e6ed9652646/ff9d2791b5f71b03974ede5726add205bdb1ebad9aecef1a56462dd77cb2fe14.jpg","青春豬頭少年不會夢到聖誕服女郎","戲劇","浪漫","其他名稱：Seishun Buta Yarou wa Santa Claus no Yume wo Minai、Rascal Does Not Dream of Santa Claus、青春猪头少年不会梦到圣诞服女郎","「麻衣小姐由我來保護。」「那麼，咲太就由我來保護。」只有咲太看得見的迷你裙聖誕女郎究竟是誰？","巴哈姆特動畫瘋","viu.com","巴哈姆特動畫瘋","","","","8.24","158K","anime_data/images/青春豬頭少年不會夢到聖誕服女郎.jpg"
"https://static.acgsecrets.hk/img/6a/6a67526b366ecfcea2978fc854fc8788/e59781b46084df3d6a6636580a81b5e633773c551ac2608c918aa9ad2833e551.jpg","盾之勇者成名錄 Season 4","動作","冒險","其他名稱：The Rising of the Shield Hero Season 4、Tate no Yuusha no Nariagari Season 4、盾之勇者成名录 Season 4","盾之勇者‧岩谷尚文讓自從被召喚以來，始終沒擺脫遊戲心態的勇者們體認到現實後，幫助他們改頭換面。過程雖是困難重重，但一行人還是抵達了企圖要取拉芙塔莉雅性命的國家‧九天樓。他們為了制裁施行暴政的政府而潛入該國境內，想不到九天樓政府連在國內也透過苛政嚴令折磨國民。「先從席德威魯特招募幫手進入這個小鎮……接下來再趁勝追擊吧！」尚文一行人為了推翻政府而掀起變革的期間，能力遭到對勇者專用之神秘武器封印，他們今後究竟會如何……!?","巴哈姆特動畫瘋","Ani-One YouTube","Bilibili","巴哈姆特動畫瘋","Ani-One YouTube","Bilibili","7.13","134K","anime_data/images/盾之勇者成名錄 Season 4.jpg"
